"No.","Time","Source","Destination","Protocol","Length","Info"
"1444","14:48:09.947204924","10.0.0.5","10.0.0.6","TCP","554","12182  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1445","14:48:09.947226165","10.0.0.6","10.0.0.5","TCP","58","12345  >  12182 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1446","14:48:09.991974390","10.0.0.3","10.0.0.6","TCP","554","19962  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1447","14:48:09.992015469","10.0.0.6","10.0.0.3","TCP","58","12345  >  19962 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1448","14:48:10.026971474","10.0.0.6","10.0.0.5","TCP","58","[TCP Retransmission] 12345  >  58749 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1449","14:48:10.026995676","10.0.0.5","10.0.0.6","TCP","54","58749  >  12345 [RST] Seq=1 Win=0 Len=0"
"1450","14:48:10.027020951","10.0.0.6","10.0.0.4","TCP","58","[TCP Retransmission] 12345  >  60043 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1451","14:48:10.027041209","10.0.0.4","10.0.0.6","TCP","54","60043  >  12345 [RST] Seq=1 Win=0 Len=0"
"1452","14:48:10.090963979","10.0.0.6","10.0.0.3","TCP","58","[TCP Retransmission] 12345  >  19665 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1453","14:48:10.090992234","10.0.0.3","10.0.0.6","TCP","54","19665  >  12345 [RST] Seq=1 Win=0 Len=0"
"1454","14:48:10.406247663","10.0.0.4","10.0.0.6","TCP","554","62211  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1455","14:48:10.406290202","10.0.0.6","10.0.0.4","TCP","58","12345  >  62211 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1456","14:48:10.410997691","10.0.0.5","10.0.0.6","TCP","554","43997  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1457","14:48:10.411033828","10.0.0.6","10.0.0.5","TCP","58","12345  >  43997 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1458","14:48:10.447613862","10.0.0.2","10.0.0.6","TCP","70","51128  >  12345 [PSH, ACK] Seq=463 Ack=526 Win=83 Len=4 TSval=4177369638 TSecr=2581377678"
"1459","14:48:10.447640646","10.0.0.6","10.0.0.2","TCP","66","12345  >  51128 [ACK] Seq=526 Ack=467 Win=85 Len=0 TSval=2581379980 TSecr=4177369638"
"1460","14:48:10.447663556","10.0.0.2","10.0.0.6","TCP","70","51128  >  12345 [PSH, ACK] Seq=467 Ack=526 Win=83 Len=4 TSval=4177369638 TSecr=2581379980"
"1461","14:48:10.447670168","10.0.0.6","10.0.0.2","TCP","66","12345  >  51128 [ACK] Seq=526 Ack=471 Win=85 Len=0 TSval=2581379980 TSecr=4177369638"
"1462","14:48:10.447679960","10.0.0.2","10.0.0.6","TCP","67","51128  >  12345 [PSH, ACK] Seq=471 Ack=526 Win=83 Len=1 TSval=4177369638 TSecr=2581379980"
"1463","14:48:10.447684771","10.0.0.6","10.0.0.2","TCP","66","12345  >  51128 [ACK] Seq=526 Ack=472 Win=85 Len=0 TSval=2581379980 TSecr=4177369638"
"1464","14:48:10.447692910","10.0.0.2","10.0.0.6","TCP","90","51128  >  12345 [PSH, ACK] Seq=472 Ack=526 Win=83 Len=24 TSval=4177369638 TSecr=2581379980"
